city,lat,lng,country
Huayllati,-13.92862,-72.48496,Peru
Duraznopampa,-6.59306,-77.80806,Peru
Kimbiri,-12.61935,-73.78814,Peru
Urb. Santo Domingo,-11.87655,-77.03345,Peru
Cono Norte,-16.30111,-71.61647,Peru
Miramar,-8.17945,-78.99381,Peru
Kimbe,-5.55085,150.13766,Papua New Guinea
NIA Valencia,7.90639,125.09417,Philippines
Upper Klinan,6.22722,125.12083,Philippines
Unidos,8.5942,123.668,Philippines
Tumarbong,10.37659,119.4579,Philippines
Tumalaytay,12.27584,123.23201,Philippines
Tuhian,13.6222,122.2178,Philippines
Tubao,16.3482,120.4122,Philippines
Topdac,16.5553,120.7116,Philippines
Tongouson,5.0214,120.1328,Philippines
Toledo,10.3773,123.6386,Philippines
Tiwi,10.92972,122.73417,Philippines
Tinutulan,7.1,124.65,Philippines
Tinongan,10.215,123.03528,Philippines
Tinawagan,13.65,123.48333,Philippines
Tinambac,13.8164,123.3261,Philippines
Tignapalan,8.26389,124.57472,Philippines
Tigbauan,10.67466,122.3776,Philippines
Tiblawan,6.47834,126.10828,Philippines
Tapon,10.0631,123.4453,Philippines
Tapia,7.75417,126.01194,Philippines
Tandayag,9.4547,123.2299,Philippines
Tamnag,6.57298,124.88004,Philippines
Tambilil,5.96222,124.66972,Philippines
Talipao,5.97639,121.11611,Philippines
Tagdanua,7.2043,125.8841,Philippines
Tabon,15.27098,120.91273,Philippines
Surup,6.39035,126.14558,Philippines
Sumagui,12.79532,121.47401,Philippines
Solano,16.51918,121.18124,Philippines
Sison,9.66028,125.52861,Philippines
San Vicente,6.45375,124.78005,Philippines
Santiago,14.0211,121.2792,Philippines
Santa Fe,12.15656,121.99411,Philippines
Santa Fe,10.2375,124.77194,Philippines
Santa Barbara,16.0009,120.4023,Philippines
Santa Ana,15.0955,120.767,Philippines
Santa,17.486,120.4348,Philippines
San Patricio,15.09775,120.72876,Philippines
San Nicolas,16.0703,120.7624,Philippines
San Miguel,9.9869,124.3411,Philippines
San Jose,10.745,121.9415,Philippines
San Francisco,13.89806,121.24806,Philippines
San Francisco,9.77694,125.42472,Philippines
San Fernando,12.4833,123.7622,Philippines
San Fabian,15.59629,120.90663,Philippines
Salinas,16.3695,121.0188,Philippines
Salimbalan,8.27417,124.72194,Philippines
Salaza,15.4541,119.9553,Philippines
Sagrada Familia,13.269,123.3977,Philippines
Sagay,9.1059,124.7243,Philippines
Sagasa,10.468,122.8939,Philippines
Sagana,12.72252,121.48672,Philippines
Sabang Indan,14.2194,122.9151,Philippines
Roxas,12.5835,121.5176,Philippines
Rimus,16.8764,120.3966,Philippines
Quinipot,7.18028,122.22028,Philippines
Pongol,8.27861,124.74833,Philippines
Progreso,13.9083,122.0906,Philippines
Pantukan,7.16333,125.89917,Philippines
Polillo,14.71699,121.94889,Philippines
Poctol,13.82095,121.44184,Philippines
Limbuhan,11.88377,124.05011,Philippines
Pindangan Centro,15.86056,120.55139,Philippines
Pikit,7.05444,124.67194,Philippines
Paringao,16.57167,120.32417,Philippines
Pantabangan,15.8113,121.1443,Philippines
Panitian,9.0965,118.0864,Philippines
Panique,12.48025,122.01462,Philippines
Pangpang,15.93875,120.30939,Philippines
Pangil,14.4033,121.46506,Philippines
Pandan Niog,6.2282,120.5631,Philippines
Pandan,11.7195,122.0949,Philippines
Pancol,10.8715,119.4157,Philippines
Pambujan,12.5642,124.9276,Philippines
Pakil,14.3835,121.4786,Philippines
Padapada,15.5517,120.5163,Philippines
Ogtongon,10.77334,123.52,Philippines
Ocampo,13.5594,123.3761,Philippines
Nagrumbuan,16.89955,121.70974,Philippines
Moog,8.60111,124.46583,Philippines
Minuyan,10.51366,123.1049,Philippines
Mayana,9.75611,124.35222,Philippines
Mauhao,12.29015,121.30071,Philippines
Matungao,8.13611,124.16417,Philippines
Matayumtayum,15.5166,120.7098,Philippines
Maquiapo,14.98561,120.55855,Philippines
Maputi,8.44972,124.29056,Philippines
Mapili,11.1081,122.7393,Philippines
Mandih,8.2087,123.0141,Philippines
Mancilang,11.2835,123.7462,Philippines
Manaring,17.17294,121.90254,Philippines
Maluso,6.543,121.8753,Philippines
Malway,9.1319,123.2203,Philippines
Malisbeng,6.12,124.35472,Philippines
Malawag,13.38333,123.28333,Philippines
Malatap,14.1871,122.5119,Philippines
Malabanan,14,121.13333,Philippines
Magsaysay,6.76667,125.18333,Philippines
Maganoy,6.86472,124.44167,Philippines
Mabini,11.41667,125.16667,Philippines
Maasim,5.8575,125.00611,Philippines
Lumbang,14.2973,121.4598,Philippines
Lookan,5.037,120.1027,Philippines
Ligaya,15.5091,121.2872,Philippines
Libmanan,13.6928,123.0596,Philippines
Libertad,11.7694,121.919,Philippines
Libertad,11.0304,124.0215,Philippines
Libas,9.88333,125.98333,Philippines
Libacao,11.4802,122.30421,Philippines
Lennec,15.6835,120.7338,Philippines
La Paz,15.44125,120.72863,Philippines
Lambakin,14.75,120.86667,Philippines
Kolambugan,8.1144,123.8971,Philippines
Kawayan,7.53833,122.8725,Philippines
Karungdong,5.8844,121.263,Philippines
Kapatagan,7.9003,123.7692,Philippines
Kalbugan,6.95972,124.65917,Philippines
Kabugao,18.01698,121.18173,Philippines
Irahuan,9.80798,118.69191,Philippines
Ipilan,8.84306,117.90333,Philippines
Ilagan,17.14854,121.88924,Philippines
Yuni,13.4124,122.4846,Philippines
Hibaiyo,10.2726,123.321,Philippines
Haguimit,10.3999,123.0178,Philippines
Hagdan,11.33333,123.9,Philippines
Glad,7.14833,124.51806,Philippines
General Tinio,15.35075,121.04773,Philippines
Gabao,12.72709,123.97835,Philippines
Esperanza,7.49167,125.72806,Philippines
Talagutong,6.26444,125.66778,Philippines
Dansuli,6.64075,124.58258,Philippines
Danglas,17.7009,120.6556,Philippines
Dalican,6.96667,124.4,Philippines
Da-an Sur,11.2612,122.4202,Philippines
Cotmon,13.1175,123.6637,Philippines
Cortez,11.5301,122.3975,Philippines
Culacling,13.7815,122.8767,Philippines
Claveria,8.61,124.89472,Philippines
Chambrey,10.9768,123.1682,Philippines
Kauit,11.186,123.9459,Philippines
Catubig,12.4098,125.0548,Philippines
Cato,15.8362,119.9151,Philippines
Catmon,11.53516,124.43115,Philippines
Castilla,12.94861,123.88222,Philippines
Carmen,15.88642,120.59984,Philippines
Carmen,9.22639,126.01722,Philippines
Carigara,11.29811,124.67895,Philippines
Capucnasan,13.6,123.21667,Philippines
Candiis,8.97028,125.18417,Philippines
Camias,15.16679,120.97416,Philippines
Calituban,10.23995,124.2919,Philippines
Colipapa,9.4726,122.5616,Philippines
Calinog,11.11667,122.56667,Philippines
Cabungan,16.33999,119.9949,Philippines
Buyo,13.1144,123.8666,Philippines
Buliok,7.01667,124.7,Philippines
Bulalacao,11.7435,120.1715,Philippines
Buhi,13.4322,123.517,Philippines
Buenavista,13.867,123.302,Philippines
Boton,12.9287,124.0479,Philippines
Bogo,9.85686,123.56417,Philippines
Bilar,9.70825,124.10717,Philippines
Bilao,11.488,122.5599,Philippines
Bayabas,8.96972,126.28611,Philippines
Batutitik,6.22333,125.25194,Philippines
Basay,9.4087,122.64,Philippines
Barlig,17.03725,121.10384,Philippines
Bantay,17.58472,120.38917,Philippines
Bansalan,6.78611,125.21333,Philippines
Banganan,16.3144,121.0544,Philippines
Balud,10.1476,123.6953,Philippines
Balogo,7.2823,124.46388,Philippines
Baleno,12.4739,123.4982,Philippines
Baggabag B,16.50588,121.19014,Philippines
Atabayan,10.68333,122.41667,Philippines
Arenas,15.17042,120.68571,Philippines
Santa Rita Aplaya,13.77173,121.03492,Philippines
Anuling,6.03556,121.00667,Philippines
Andili,7.462,125.9701,Philippines
Amucao,15.46405,120.68643,Philippines
Amlimay,16.69377,120.83704,Philippines
Aliaga,15.5,120.843,Philippines
Agoncillo,13.93556,120.93261,Philippines
Taguitic,7.9387,123.6312,Philippines
Lopez Jaena,6.47591,124.69828,Philippines
Ayala Alabang,14.40599,121.02222,Philippines
Zaida,34.0595,72.4669,Pakistan
Tando Adam,25.76818,68.66196,Pakistan
Thal,35.47836,72.24383,Pakistan
Rajanpur,29.10408,70.32969,Pakistan
Pithoro,25.51122,69.37803,Pakistan
Mirpur Mathelo,28.02136,69.54914,Pakistan
Kot Malik Barkhurdar,30.20379,66.98723,Pakistan
Kandiari,26.9155,68.52193,Pakistan
Havelian,34.05348,73.15993,Pakistan
Harunabad,29.61206,73.13802,Pakistan
Duki,30.15307,68.57323,Pakistan
Darya Khan Marri,26.67765,68.28666,Pakistan
Chuhar Kana,31.75,73.8,Pakistan
Baddomalhi,31.99042,74.6641,Pakistan
Alik Ghund,30.48976,67.52177,Pakistan
Athmuqam,34.57173,73.89724,Pakistan
Żurowa,49.82636,21.16894,Poland
Wyśmierzyce,51.62494,20.81394,Poland
Wólka Tanewska,50.50005,22.26113,Poland
Wiśniowa,49.7878,20.11502,Poland
Węgorzewo,54.21567,21.7372,Poland
Jodłówka-Wałki,50.04992,21.13332,Poland
Szarów,49.99505,20.2696,Poland
Srokowo,54.21416,21.52282,Poland
Siedliska,49.87163,20.99625,Poland
Sawin,51.27443,23.43375,Poland
Radoszyce,51.07392,20.25836,Poland
Raczki,53.98749,22.78487,Poland
Pruchnik,49.9062,22.51554,Poland
Paprotnia,52.30071,22.46756,Poland
Ostrów,49.96812,22.7871,Poland
Opatów,50.80058,21.42538,Poland
Niedźwiada,49.98937,21.52162,Poland
Maszkienice,49.9892,20.68657,Poland
Łapy,52.9911,22.88422,Poland
Krzywda,51.79519,22.19994,Poland
Krynki,53.26444,23.77304,Poland
Krasnopol,54.11613,23.20476,Poland
Korczew,52.35327,22.61338,Poland
Karczmiska,51.22952,21.98158,Poland
Józefów nad Wisłą,51.04183,21.83018,Poland
Jastków,51.30411,22.43546,Poland
Jakubów,52.21965,21.68032,Poland
Iłża,51.16313,21.23979,Poland
Hrubieszów,50.80502,23.89251,Poland
Grójec,51.86252,20.86757,Poland
Godziszów,50.74889,22.49794,Poland
Firlej,51.55882,22.50841,Poland
Dziekanów Leśny,52.35243,20.85124,Poland
Dwikozy,50.73613,21.78864,Poland
Dobre Miasto,53.98668,20.39749,Poland
Ciepielów,51.24838,21.57475,Poland
Chmielnik,49.97386,22.14535,Poland
Cegłów,52.14782,21.73739,Poland
Borowa,50.38548,21.3515,Poland
Bolimów,52.07671,20.16352,Poland
Biała Rawska,51.80779,20.47259,Poland
Baranowo,53.17554,21.29803,Poland
Żywiec,49.68529,19.19243,Poland
Zwierzyń,52.83212,15.56763,Poland
Złotniki Kujawskie,52.89943,18.14564,Poland
Zielona Góra,51.93548,15.50643,Poland
Zdzieszowice,50.42482,18.12349,Poland
Zarzecze,49.71932,19.17526,Poland
Zaborze,50.02175,19.24067,Poland
Wrząsowice,49.95862,19.94654,Poland
Wręczyca Wielka,50.84589,18.92086,Poland
Witaszyce,51.94151,17.56182,Poland
Wielgie,52.74076,19.2635,Poland
Wapno,52.90804,17.47504,Poland
Wąpielsk,53.13761,19.27792,Poland
Ujście,53.05339,16.73201,Poland
Tychy,50.13717,18.96641,Poland
Trzcińsko Zdrój,52.96487,14.60667,Poland
Szlachta,53.76827,18.11367,Poland
Stepnica,53.65187,14.62555,Poland
Stawiszyn,51.91786,18.11171,Poland
Sokolniki,51.30738,18.33275,Poland
Śmiłowo,53.13647,16.92075,Poland
Sieniawa,52.36344,15.37768,Poland
Rogoźnik,50.39106,19.03776,Poland
Polkowice,51.50391,16.07261,Poland
Połajewo,52.79923,16.73347,Poland
Pogwizdów,49.80382,18.60106,Poland
Płoty,53.80182,15.2667,Poland
Obrzycko,52.70338,16.52807,Poland
Młynary,54.1869,19.72149,Poland
Mikołów,50.17103,18.9041,Poland
Mielno,54.26086,16.0621,Poland
Mieleszyn,52.66868,17.49779,Poland
Miejska Górka,51.65573,16.95826,Poland
Międzybórz,51.39626,17.6661,Poland
Małomice,51.55597,15.45004,Poland
Lipiany,53.00336,14.96919,Poland
Łąck,52.46621,19.61137,Poland
Krzyszkowice,49.88346,19.92285,Poland
Kowal,52.53019,19.14767,Poland
Kotlin,51.91913,17.64825,Poland
Kornowac,50.07179,18.32846,Poland
Kęty,49.88214,19.22333,Poland
Kaźmierz,52.51309,16.58403,Poland
Kamienna Góra,50.78314,16.03037,Poland
Janowiec Wielkopolski,52.75583,17.48981,Poland
Huta Stara B,50.73792,19.13295,Poland
Cielmice,50.08826,19.01896,Poland
Gąbin,52.39849,19.73509,Poland
Frombork,54.35766,19.68029,Poland
Fordon,53.14821,18.17036,Poland
Dziećmorowice,50.76947,16.35212,Poland
